author,bookformat,desc,genre,img,isbn,isbn13,pages,rating,reviews,title,totalratings,rating_norm,reviews_norm,totalratings_norm,pages_norm
Laurence M. Hauptman,Hardcover,"Reveals that several hundred thousand Indians were affected by the Civil War and that twenty thousand Indians enlisted on both sides in an attempt to gain legitimacy, autonomy, or simply land.","History,Military History,Civil War,American History,American Civil War,Nonfiction,North American Hi...,American History,Native Americans",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387738765l/1001053.jpg,002914180X,9.78E+12,0,3.52,5,Between Two Fires: American Indians in the Civil War,33,0.7040000000000001,3.149090542651282e-05,8.640267942563687e-06,0.0
Jean Leveille,,"Aujourdâ€™hui, lâ€™oiseau nous invite Ã  sa table, table surprenante par sa diversitÃ© et son originalitÃ©. Tous initient leurs petits Ã  la vie gourmande en puisant dans un panier aux ressources immenses. Pour y parvenir, lâ€™oiseau a modifiÃ© son anatomie, sa morphologie, mais surtout il a radicalement adaptÃ© son organisme Ã  ses choix. Par ses photos magnifiques et ses textes fascinants, lâ€™auteur nous invite Ã  dÃ©couvrir les innombrables et subtiles facettes de lâ€™alimentation des oiseaux., - ,www.jeanleveille.org",Unknown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1293221069l/10010880.jpg,2761920813,,177,4.0,1,Les oiseaux gourmands,1,0.8,6.298181085302564e-06,2.618263012898087e-07,0.0025285714285714286
Umberto Eco,Hardcover,"In the course of the long debate on the nature and the classification of signs, from Boethius to Ockham, there are at least three lines of thought: the Stoic heritage, that influences Augustine, Abelard, Francis Bacon; the Aristotelian tradition, stemming from the commentaries on ,De Interpretatione;, the discussion of the grammarians, from Priscian to the Modistae. Modern interpreters are frequently misled by the fact that the various authors regularly used the same terms. Such a homogeneous terminology, however, covers profound theoretical differences. The aim of these essays is to show that the medieval theory of signs does not represent a unique body of semiotic notions: there are diverse and frequently alternative semiotic theories. This book thus represents an attempt to encourage further research on the still unrecognized variety of the semiotic approaches offered by the medieval philosophies of language.",History,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362957934l/1001231.jpg,9027232938,9.79E+12,0,4.1,0,On The Medieval Theory Of Signs,10,0.82,0.0,2.618263012898087e-06,0.0
John C. Maxwell,Hardcover,"In the spirit of his best-selling ,The 21 Irrefutable Laws of Leadership, and ,The 21 Indispensable Qualities of a Leader,, John Maxwell offers thoughts on proven leadership qualities and crucial issues that affect leadership success. These basic principles of success can be applied to business and private life, helping anyone reach their full potential. Twenty-one powerful statements help leaders maximize their assets and overcome their weaknesses, encouraging them to lead with their hearts as well as their minds. Daily readings include sections which help readers integrate and apply each day's material.","Leadership,Business,Self Help,Nonfiction,Christian,Self Help,Personal Development,Business,Management,Audiobook,Religion,Christianity",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431939937l/1001623._SX318_.jpg,785274324,20049074329,369,4.05,51,The 21 Most Powerful Minutes in a Leader's Day: Revitalize Your Spirit and Empower Your Leadership,612,0.81,0.00032120723535043077,0.00016023769638936293,0.005271428571428571
Nicene creed,Nook,Unknown,Christian,https://via.placeholder.com/120x180?text=No+Image,,2.94E+12,0,3.29,0,The creeds of Nicea; Constantinople; Athanasius; with extracts and remarks bearing on the ...,7,0.658,0.0,1.832784109028661e-06,0.0
"Joanne Stepaniak,Vesanto Melina",Paperback,"When parents choose a vegetarian lifestyle for their child, it can set family fingers wagging in dietary disapproval. It's no easier on steak-loving parents when Junior announces he's sworn off meat. With the strategies in ,Raising Vegetarian Children,, parents can ease family tensions and learn to accommodate the nutritional and emotional needs of their vegetarian offspring.,It includes a detailed explanation of the Vegetarian Food Pyramid and its vitamin- and protein-rich foods, allays concerns over dietary gaps, and is packed with recipes that will please any growing vegetarian, from infant to teenager.","Food and Drink,Food,Parenting,Food and Drink,Cookbooks,Food and Drink,Vegetarian,Nonfiction,Health,Nutrition,Health",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347576291l/1008645.jpg,658021559,6.40E+11,300,3.72,11,Raising Vegetarian Children: A Guide to Good Health and Family Harmony,109,0.7440000000000001,6.927999193832821e-05,2.853906684058915e-05,0.004285714285714286
Ryoko Nishida,Paperback,"Pokmon fans can bring their favorite creatures to life with this colorful origami kit. Preprinted paper and instructions direct readers in creating three-dimensional figures of Ash Ketchum, Bulbasaur, Squirtle, Eevee, Zubat, and other favorite Pokmon, as well as readers' own characters. The Pokmon phenomenon is based on the Nintendo Game Boy adventure, which sets players on a quest to collect all 150 Pokmon creatures - an eclectic assortment of animal, vegetable, mineral, and out-of-this- world characters.","How To,Crafts,Origami",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387702263l/1010965.jpg,1569313911,7.82E+11,0,4.59,0,"Pokemon Origami, Volume 1",51,0.918,0.0,1.3353141365780245e-05,0.0
"Anita O'Day,George Eells",Paperback,"""...in the tradition of the best jazz autobiographies...a fascinating travelogue through the jazz world, filled with vivid images of Gene Krupa, Stan Kenton, Roy Eldridge and Billie Holiday...Her prose is as hip as her music."" -The New York Times Book Review","Music,Biography,Nonfiction,Music,Jazz,Autobiography,Memoir,Womens,Biography,Autobiography",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347490822l/101168.jpg,879101180,73999248579,376,4.19,24,"High Times, Hard Times",188,0.8380000000000001,0.00015115634604726154,4.922334464248404e-05,0.005371428571428571
James E. Faulconer,,"Faith, Philosophy, Scripture is a collection of 10 essays resulting from Professor James E. Faulconer s work as a philosopher and his abiding faith as a Latter-day Saint. Faith is the starting point, and philosophy is its supplement rather than competitor. Faulconer writes, The confidence of my faith, a confidence that came by revelation, has allowed me to hear the questions of philosophy without fear, and philosophy has never asked me to give up my faith, though it has asked questions about it. These essays ask what it means to remember (as our faith often calls us to do), how faith and reason are related to each other, what the place of theology is in revealed religion, and how we should think about scripture. The intent behind the book is to help the reader see how faith, philosophy, and scripture can be part of a whole life, each helping make sense of the others, with faith as the ground and center of them all.","Religion,Lds,Mormonism,Christianity,Lds",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312388020l/10124343.jpg,,9.76E+12,0,4.33,5,"Faith, Philosophy, Scripture",18,0.8660000000000001,3.149090542651282e-05,4.712873423216557e-06,0.0
The Society For The Study Of Manga Techniques,Paperback,"The media used for colour genga (original drawings) are felt markers. Copic sketch markers are particularly popular, because they allow the artist to use a wide variety of styles and can be used with an airbrush. This publication presents in great detail copic sketch techniques, giving consideration to suitability with paper and even includes techniques of combining markers with pastels and other media. It is an unparalleled, innovative manual, proving excellent reference for the beginner and the professional alike.","Art,Sequential Art,Manga,Art,Drawing",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395263817l/1017557.jpg,4889960473,8.25E+11,120,3.74,0,How To Draw Manga Special: Colored Original Drawings,43,0.7480000000000001,0.0,1.1258530955461775e-05,0.0017142857142857142
